,eventID,year,longitude,latitude,magnitude
4732,10004733,1943,91.403,27.187,5.82
4736,10004737,1943,99.568,22.117,5.86
4856,10004857,1943,93.829,26.705,7.18
4889,10004890,1943,94.017,15.406,5.59
4981,10004982,1944,92.827,12.308,6.14
5023,10005024,1944,101.636,30.864,5.62
5062,10005063,1944,92.583,24.731,6.33
5113,10005114,1945,91.349,24.712,5.75
5210,10005211,1946,98.133,24.445,6.08
5212,10005213,1946,94.477,20.154,5.63
5215,10005216,1946,89.085,35.007,6.03
5235,10005236,1946,92.401,19.799,5.67
5324,10005325,1946,95.6662,24.0536,7.95
5325,10005326,1946,95.705,23.532,7.64
5410,10005411,1947,99.491,33.498,7.58
5430,10005431,1947,94.536,23.919,6.01
5470,10005471,1947,93.628,28.484,7.3
5496,10005497,1947,96.779,24.855,6.02
5607,10005608,1948,100.391,30.124,7.3
5609,10005610,1948,100.731,29.91,5.68
5621,10005622,1948,99.894,26.284,6.11
5671,10005672,1948,94.15,22.664,6.52
5676,10005677,1948,103.908,27.05,6.06
5677,10005678,1948,104.006,27.245,5.93
5696,10005697,1948,94.856,26.308,5.88
5739,10005740,1949,99.037,25.952,5.69
5757,10005758,1949,110.133,53.338,6.08
5771,10005772,1949,100.439,33.282,5.88
5798,10005799,1949,88.945,31.072,5.62
5829,10005830,1949,94.012,46.376,5.6
5833,10005834,1949,93.644,46.7,5.91
5863,10005864,1950,99.97,21.951,6.89
5864,10005865,1950,99.983,21.814,6.71
5865,10005866,1950,100.174,22.21,5.79
5873,10005874,1950,99.024,45.708,6.08
5875,10005876,1950,90.817,27.223,5.65
5889,10005890,1950,101.134,51.639,6.9
5919,10005920,1950,99.768,34.95,5.8
5953,10005954,1950,96.445,28.363,8.6
5954,10005955,1950,95.731,28.52,6.17
5955,10005956,1950,96.777,27.337,5.81
5956,10005957,1950,92.944,25.343,6.01
5957,10005958,1950,95.131,28.498,5.8
5958,10005959,1950,96.746,28.665,5.75
5959,10005960,1950,95.894,28.38,6.23
5960,10005961,1950,94.866,29.063,5.75
5961,10005962,1950,94.968,28.18,5.66
5962,10005963,1950,92.802,27.492,5.96
5963,10005964,1950,95.963,28.716,5.72
5964,10005965,1950,97.217,26.886,5.48
5965,10005966,1950,96.968,26.859,5.67
5966,10005967,1950,94.844,28.427,6.14
5968,10005969,1950,94.774,29.622,5.74
5969,10005970,1950,95.805,29.211,6.4
5970,10005971,1950,96.557,29.723,6.09
5971,10005972,1950,95.062,29.473,5.76
5972,10005973,1950,97.157,27.186,5.74
5973,10005974,1950,91.483,33.039,5.96
5974,10005975,1950,95.511,29.932,5.96
5976,10005977,1950,94.584,28.97,5.91
5978,10005979,1950,97.171,26.992,6.07
5979,10005980,1950,95.019,29.207,5.97
5980,10005981,1950,97.02,27.048,5.68
5981,10005982,1950,96.476,28.504,5.91
5982,10005983,1950,96.672,28.249,5.64
5984,10005985,1950,94.965,27.233,6.19
5985,10005986,1950,94.6,29.183,5.55
5988,10005989,1950,95.33,28.61,5.73
5990,10005991,1950,95.302,29.688,5.73
5991,10005992,1950,95.226,29.585,5.55
5993,10005994,1950,96.753,29.758,5.93
5994,10005995,1950,96.731,29.711,5.69
5999,10006000,1950,94.158,28.615,5.81
6000,10006001,1950,103.113,23.323,6.0
6001,10006002,1950,95.133,27.605,6.22
6004,10006005,1950,93.962,32.44,5.63
6017,10006018,1950,94.409,28.873,6.27
6018,10006019,1950,97.508,27.161,6.04
6024,10006025,1950,94.401,28.55,6.35
6027,10006028,1950,95.457,28.22,5.53
6038,10006039,1950,95.354,27.419,5.96
6039,10006040,1950,96.81,26.095,5.7
6040,10006041,1950,95.851,33.173,5.69
6045,10006046,1950,97.396,30.353,5.62
6050,10006051,1950,105.365,46.135,5.73
6054,10006055,1950,94.807,27.233,5.51
6057,10006058,1950,96.895,25.382,5.69
6070,10006071,1950,95.686,28.767,6.09
6087,10006088,1950,91.844,23.854,5.9
6088,10006089,1951,109.988,47.582,5.88
6119,10006120,1951,95.427,28.661,5.73
6123,10006124,1951,94.668,27.99,5.98
6125,10006126,1951,97.487,30.634,5.84
6126,10006127,1951,97.363,30.843,6.22
6135,10006136,1951,97.391,30.731,5.73
6136,10006137,1951,90.575,25.949,5.77
6143,10006144,1951,93.861,28.28,6.4
6145,10006146,1951,94.575,28.842,5.96
6194,10006195,1951,96.529,28.619,5.82
6196,10006197,1951,105.648,45.425,5.6
6201,10006202,1951,95.312,31.539,5.53
6220,10006221,1951,98.74,25.826,5.53
6301,10006302,1951,91.498,30.908,6.13
6304,10006305,1951,91.261,31.056,7.7
6305,10006306,1951,91.451,30.477,5.61
6313,10006314,1951,91.232,30.441,5.45
6315,10006316,1951,90.774,30.974,5.69
6319,10006320,1951,100.013,26.579,6.41
6324,10006325,1951,90.784,31.244,6.27
6325,10006326,1951,95.528,39.49,6.17
6341,10006342,1952,95.438,39.733,5.96
6345,10006346,1952,93.795,33.978,5.5
6346,10006347,1952,98.661,39.594,5.77
6351,10006352,1952,95.924,29.434,5.5
6368,10006369,1952,90.768,29.879,5.48
6378,10006379,1952,91.776,30.492,5.62
6412,10006413,1952,95.068,26.621,5.45
6428,10006429,1952,94.488,28.4,5.96
6430,10006431,1952,91.651,30.891,5.77
6431,10006432,1952,91.759,30.367,5.75
6438,10006439,1952,90.918,31.373,5.86
6441,10006442,1952,99.797,22.565,6.68
6450,10006451,1952,102.155,29.796,6.14
6478,10006479,1952,91.601,30.648,7.4
6485,10006486,1952,93.905,28.138,5.63
6495,10006496,1952,91.861,34.345,6.04
6498,10006499,1952,91.957,30.308,5.55
6505,10006506,1952,102.25,28.43,6.62
6508,10006509,1952,92.1,36.52,5.65
6513,10006514,1952,93.198,37.008,6.09
6544,10006545,1952,101.159,33.224,6.19
6617,10006618,1952,100.002,22.547,6.21
6696,10006697,1953,96.712,30.495,5.85
6697,10006698,1953,96.874,31.049,6.02
6709,10006710,1953,103.158,24.119,5.56
6792,10006793,1953,90.072,50.493,5.73
6809,10006810,1953,97.262,29.824,5.92
6882,10006883,1954,101.217,38.956,6.98
6885,10006886,1954,90.991,45.104,5.71
6893,10006894,1954,91.605,27.672,6.16
6981,10006982,1954,101.033,27.517,5.72
6989,10006990,1954,104.151,38.622,6.86
7122,10007123,1955,98.337,25.828,5.99
7126,10007127,1955,90.166,29.671,5.93
7140,10007141,1955,101.759,29.957,7.09
7160,10007161,1955,96.927,27.051,5.77
7190,10007191,1955,101.109,26.669,6.18
7230,10007231,1955,95.843,23.98,5.84
7252,10007253,1955,101.78,26.467,6.7
7255,10007256,1955,101.671,26.28,5.89
7257,10007258,1955,101.429,29.977,5.88
7284,10007285,1955,92.656,21.819,6.21
7287,10007288,1955,90.189,29.845,5.91
7329,10007330,1956,94.276,23.302,6.2
7332,10007333,1956,94.218,23.375,5.82
7381,10007382,1956,90.853,25.03,5.54
7400,10007401,1956,95.781,22.178,6.82
7425,10007426,1956,95.211,27.974,5.58
7487,10007488,1956,96.208,26.611,5.75
7495,10007496,1956,94.122,23.38,5.81
7519,10007520,1957,105.331,50.291,6.35
7663,10007664,1957,95.657,14.226,6.06
7664,10007665,1957,95.745,14.212,6.26
7675,10007676,1957,93.894,24.31,6.2
7797,10007798,1957,99.368,45.189,8.1
7798,10007799,1957,101.446,45.052,6.07
7800,10007801,1957,100.258,43.264,5.63
7801,10007802,1957,104.413,44.722,5.8
7825,10007826,1958,96.802,25.648,5.77
7854,10007855,1958,104.014,31.464,5.97
7869,10007870,1958,99.713,45.141,6.18
7886,10007887,1958,93.842,23.515,6.04
7898,10007899,1958,98.577,45.273,6.87
7904,10007905,1958,99.777,52.071,5.69
7910,10007911,1958,98.682,45.195,5.66
7930,10007931,1958,103.968,38.371,5.53
7979,10007980,1958,102.93,48.739,6.08
8091,10008092,1958,96.194,25.22,5.53
8186,10008187,1959,96.459,27.604,5.69
8237,10008238,1959,92.72,33.218,5.88
8262,10008263,1959,90.1901,26.1467,5.45
8318,10008319,1959,110.669,35.39,5.47
8338,10008339,1959,104.2811,39.2202,5.39
8347,10008348,1959,96.127,25.086,5.71
8348,10008349,1959,107.088,52.732,6.1
